"Agent","AgentID","Cond","Qnum","Confidence","row"
"Human",8,"2c",17,50,457
"Human",8,"2c",18,50,458
"Human",8,"2c",19,20,459
"Human",8,"2c",20,30,460
"Human",8,"4c",1,90,461
"Human",8,"4c",2,60,462
"Human",8,"4c",3,10,463
"Human",8,"4c",4,20,464
"Human",8,"4c",5,20,465
"Human",8,"4c",6,30,466
"Human",8,"4c",7,99,467
"Human",8,"4c",8,25,468
"Human",8,"4c",9,40,469
"Human",8,"4c",10,48,470
"Human",8,"4c",11,80,471
"Human",8,"4c",12,80,472
"Human",8,"4c",13,80,473
"Human",8,"4c",14,50,474
"Human",8,"4c",15,50,475
"Human",8,"4c",16,40,476
"Human",8,"4c",17,20,477
"Human",8,"4c",18,20,478
"Human",8,"4c",19,20,479
"Human",8,"4c",20,25,480
"Human",9,"op",1,100,481
"Human",9,"op",2,60,482
"Human",9,"op",3,0,483
"Human",9,"op",4,0,484
"Human",9,"op",5,50,485
"Human",9,"op",6,80,486
"Human",9,"op",7,100,487
"Human",9,"op",8,50,488
"Human",9,"op",9,0,489
"Human",9,"op",10,100,490
"Human",9,"op",11,100,491
"Human",9,"op",12,70,492
"Human",9,"op",13,70,493
"Human",9,"op",14,100,494
"Human",9,"op",15,100,495
"Human",9,"op",16,30,496
"Human",9,"op",17,50,497
"Human",9,"op",18,60,498
"Human",9,"op",19,20,499
"Human",9,"op",20,70,500
"Human",9,"2c",1,100,501
"Human",9,"2c",2,100,502
"Human",9,"2c",3,100,503
"Human",9,"2c",4,70,504
"Human",9,"2c",5,70,505
"Human",9,"2c",6,100,506
"Human",9,"2c",7,100,507
"Human",9,"2c",8,50,508
"Human",9,"2c",9,50,509
"Human",9,"2c",10,100,510
"Human",9,"2c",11,100,511
"Human",9,"2c",12,80,512
"Human",9,"2c",13,100,513
"Human",9,"2c",14,100,514
"Human",9,"2c",15,100,515
"Human",9,"2c",16,50,516
"Human",9,"2c",17,90,517
"Human",9,"2c",18,70,518
"Human",9,"2c",19,50,519
"Human",9,"2c",20,70,520
"Human",9,"4c",1,100,521
"Human",9,"4c",2,100,522
"Human",9,"4c",3,50,523
"Human",9,"4c",4,50,524
"Human",9,"4c",5,80,525
"Human",9,"4c",6,100,526
"Human",9,"4c",7,100,527
"Human",9,"4c",8,50,528
"Human",9,"4c",9,80,529
"Human",9,"4c",10,100,530
"Human",9,"4c",11,100,531
"Human",9,"4c",12,80,532
"Human",9,"4c",13,90,533
"Human",9,"4c",14,100,534
"Human",9,"4c",15,100,535
"Human",9,"4c",16,50,536
"Human",9,"4c",17,25,537
"Human",9,"4c",18,25,538
"Human",9,"4c",19,25,539
"Human",9,"4c",20,70,540
"Human",10,"op",1,100,541
"Human",10,"op",2,100,542
"Human",10,"op",3,0,543
"Human",10,"op",4,0,544
"Human",10,"op",5,100,545
"Human",10,"op",6,100,546
"Human",10,"op",7,100,547
"Human",10,"op",8,0,548
"Human",10,"op",9,0,549
"Human",10,"op",10,0,550
"Human",10,"op",11,100,551
"Human",10,"op",12,50,552
"Human",10,"op",13,100,553
"Human",10,"op",14,0,554
"Human",10,"op",15,100,555
"Human",10,"op",16,100,556
"Human",10,"op",17,0,557
"Human",10,"op",18,100,558
"Human",10,"op",19,50,559
"Human",10,"op",20,0,560
"Human",10,"2c",1,100,561
"Human",10,"2c",2,100,562
"Human",10,"2c",3,100,563
"Human",10,"2c",4,0,564
"Human",10,"2c",5,0,565
"Human",10,"2c",6,100,566
"Human",10,"2c",7,100,567
"Human",10,"2c",8,0,568
"Human",10,"2c",9,100,569
"Human",10,"2c",10,100,570
"Human",10,"2c",11,100,571
"Human",10,"2c",12,100,572
"Human",10,"2c",13,0,573
"Human",10,"2c",14,0,574
"Human",10,"2c",15,100,575
"Human",10,"2c",16,0,576
"Human",10,"2c",17,100,577
"Human",10,"2c",18,0,578
"Human",10,"2c",19,0,579
"Human",10,"2c",20,100,580
"Human",10,"4c",1,100,581
"Human",10,"4c",2,100,582
"Human",10,"4c",3,0,583
"Human",10,"4c",4,0,584
"Human",10,"4c",5,100,585
"Human",10,"4c",6,100,586
"Human",10,"4c",7,100,587
"Human",10,"4c",8,0,588
"Human",10,"4c",9,100,589
"Human",10,"4c",10,100,590
"Human",10,"4c",11,100,591
"Human",10,"4c",12,100,592
"Human",10,"4c",13,100,593
"Human",10,"4c",14,100,594
"Human",10,"4c",15,100,595
"Human",10,"4c",16,100,596
"Human",10,"4c",17,0,597
"Human",10,"4c",18,0,598
"Human",10,"4c",19,0,599
"Human",10,"4c",20,0,600
"Human",11,"op",1,90,601
"Human",11,"op",2,60,602
"Human",11,"op",3,50,603
"Human",11,"op",4,50,604
"Human",11,"op",5,70,605
"Human",11,"op",6,70,606
"Human",11,"op",7,90,607
"Human",11,"op",8,70,608
"Human",11,"op",9,50,609
"Human",11,"op",10,80,610
"Human",11,"op",11,80,611
"Human",11,"op",12,70,612
"Human",11,"op",13,50,613
"Human",11,"op",14,70,614
"Human",11,"op",15,30,615
"Human",11,"op",16,20,616
"Human",11,"op",17,30,617
"Human",11,"op",18,10,618
"Human",11,"op",19,10,619
"Human",11,"op",20,10,620
"Human",11,"2c",1,90,621
"Human",11,"2c",2,90,622
"Human",11,"2c",3,100,623
"Human",11,"2c",4,70,624
"Human",11,"2c",5,80,625
"Human",11,"2c",6,80,626
"Human",11,"2c",7,100,627
"Human",11,"2c",8,70,628
"Human",11,"2c",9,50,629
"Human",11,"2c",10,80,630
"Human",11,"2c",11,100,631
"Human",11,"2c",12,80,632
"Human",11,"2c",13,70,633
"Human",11,"2c",14,70,634
"Human",11,"2c",15,30,635
"Human",11,"2c",16,30,636
"Human",11,"2c",17,40,637
"Human",11,"2c",18,20,638
"Human",11,"2c",19,20,639
"Human",11,"2c",20,30,640
"Human",11,"4c",1,100,641
"Human",11,"4c",2,80,642
"Human",11,"4c",3,70,643
"Human",11,"4c",4,70,644
"Human",11,"4c",5,80,645
"Human",11,"4c",6,80,646
"Human",11,"4c",7,100,647
"Human",11,"4c",8,70,648
"Human",11,"4c",9,70,649
"Human",11,"4c",10,70,650
"Human",11,"4c",11,100,651
"Human",11,"4c",12,60,652
"Human",11,"4c",13,70,653
"Human",11,"4c",14,70,654
"Human",11,"4c",15,30,655
"Human",11,"4c",16,20,656
"Human",11,"4c",17,30,657
"Human",11,"4c",18,20,658
"Human",11,"4c",19,10,659
"Human",11,"4c",20,20,660
"Human",12,"op",1,10,661
"Human",12,"op",2,0,662
"Human",12,"op",3,0,663
"Human",12,"op",4,30,664
"Human",12,"op",5,50,665
"Human",12,"op",6,99,666
"Human",12,"op",7,1,667
"Human",12,"op",8,1,668
"Human",12,"op",9,30,669
"Human",12,"op",10,20,670
"Human",12,"op",11,99,671
"Human",12,"op",12,1,672
"Human",12,"op",13,1,673
"Human",12,"op",14,1,674
"Human",12,"op",15,1,675
"Human",12,"op",16,50,676
"Human",12,"op",17,2,677
"Human",12,"op",18,40,678
"Human",12,"op",19,1,679
"Human",12,"op",20,0,680
"Human",12,"2c",1,10,681
"Human",12,"2c",2,99,682
"Human",12,"2c",3,99,683
"Human",12,"2c",4,50,684
"Human",12,"2c",5,30,685
"Human",12,"2c",6,20,686
"Human",12,"2c",7,50,687
"Human",12,"2c",8,20,688
"Human",12,"2c",9,30,689
"Human",12,"2c",10,30,690
"Human",12,"2c",11,50,691
"Human",12,"2c",12,40,692
"Human",12,"2c",13,20,693
"Human",12,"2c",14,30,694
"Human",12,"2c",15,30,695
"Human",12,"2c",16,50,696
"Human",12,"2c",17,20,697
"Human",12,"2c",18,60,698
"Human",12,"2c",19,20,699
"Human",12,"2c",20,10,700
"Human",12,"4c",1,30,701
"Human",12,"4c",2,30,702
"Human",12,"4c",3,30,703
"Human",12,"4c",4,40,704
"Human",12,"4c",5,50,705
"Human",12,"4c",6,40,706
"Human",12,"4c",7,80,707
"Human",12,"4c",8,40,708
"Human",12,"4c",9,40,709
"Human",12,"4c",10,40,710
"Human",12,"4c",11,99,711
"Human",12,"4c",12,50,712
"Human",12,"4c",13,50,713
"Human",12,"4c",14,1,714
"Human",12,"4c",15,30,715
"Human",12,"4c",16,60,716
"Human",12,"4c",17,66,717
"Human",12,"4c",18,50,718
"Human",12,"4c",19,30,719
"Human",12,"4c",20,30,720
"Human",13,"op",1,100,721
"Human",13,"op",2,100,722
"Human",13,"op",3,100,723
"Human",13,"op",4,100,724
"Human",13,"op",5,100,725
"Human",13,"op",6,100,726
"Human",13,"op",7,100,727
"Human",13,"op",8,100,728
"Human",13,"op",9,100,729
"Human",13,"op",10,100,730
"Human",13,"op",11,100,731
"Human",13,"op",12,50,732
"Human",13,"op",13,100,733
"Human",13,"op",14,100,734
"Human",13,"op",15,100,735
"Human",13,"op",16,0,736
"Human",13,"op",17,0,737
"Human",13,"op",18,100,738
"Human",13,"op",19,0,739
"Human",13,"op",20,0,740
"Human",13,"2c",1,100,741
"Human",13,"2c",2,100,742
"Human",13,"2c",3,100,743
"Human",13,"2c",4,100,744
"Human",13,"2c",5,100,745
"Human",13,"2c",6,100,746
"Human",13,"2c",7,100,747
"Human",13,"2c",8,0,748
"Human",13,"2c",9,0,749
"Human",13,"2c",10,100,750
"Human",13,"2c",11,100,751
"Human",13,"2c",12,0,752
"Human",13,"2c",13,100,753
"Human",13,"2c",14,100,754
"Human",13,"2c",15,0,755
"Human",13,"2c",16,0,756
"Human",13,"2c",17,100,757
"Human",13,"2c",18,0,758
"Human",13,"2c",19,0,759
"Human",13,"2c",20,0,760
"Human",13,"4c",1,100,761
"Human",13,"4c",2,100,762
"Human",13,"4c",3,0,763
"Human",13,"4c",4,100,764
"Human",13,"4c",5,100,765
"Human",13,"4c",6,100,766
"Human",13,"4c",7,100,767
"Human",13,"4c",8,0,768
"Human",13,"4c",9,0,769
"Human",13,"4c",10,100,770
"Human",13,"4c",11,100,771
"Human",13,"4c",12,0,772
"Human",13,"4c",13,100,773
"Human",13,"4c",14,100,774
"Human",13,"4c",15,0,775
"Human",13,"4c",16,0,776
"Human",13,"4c",17,0,777
"Human",13,"4c",18,0,778
"Human",13,"4c",19,0,779
"Human",13,"4c",20,0,780
"Human",14,"op",1,90,781
"Human",14,"op",2,70,782
"Human",14,"op",3,80,783
"Human",14,"op",4,50,784
"Human",14,"op",5,60,785
"Human",14,"op",6,50,786
"Human",14,"op",7,50,787
"Human",14,"op",8,50,788
"Human",14,"op",9,50,789
"Human",14,"op",10,50,790
"Human",14,"op",11,90,791
"Human",14,"op",12,20,792
"Human",14,"op",13,30,793
"Human",14,"op",14,50,794
"Human",14,"op",15,30,795
"Human",14,"op",16,30,796
"Human",14,"op",17,10,797
"Human",14,"op",18,10,798
"Human",14,"op",19,10,799
"Human",14,"op",20,40,800
"Human",14,"2c",1,80,801
"Human",14,"2c",2,100,802
"Human",14,"2c",3,50,803
"Human",14,"2c",4,50,804
"Human",14,"2c",5,60,805
"Human",14,"2c",6,60,806
"Human",14,"2c",7,100,807
"Human",14,"2c",8,20,808
"Human",14,"2c",9,100,809
"Human",14,"2c",10,50,810
"Human",14,"2c",11,20,811
"Human",14,"2c",12,20,812
"Human",14,"2c",13,20,813
"Human",14,"2c",14,20,814
"Human",14,"2c",15,20,815
"Human",14,"2c",16,20,816
"Human",14,"2c",17,20,817
"Human",14,"2c",18,20,818
"Human",14,"2c",19,20,819
"Human",14,"2c",20,20,820
"Human",14,"4c",1,60,821
"Human",14,"4c",2,60,822
"Human",14,"4c",3,80,823
"Human",14,"4c",4,50,824
"Human",14,"4c",5,60,825
"Human",14,"4c",6,60,826
"Human",14,"4c",7,100,827
"Human",14,"4c",8,60,828
"Human",14,"4c",9,60,829
"Human",14,"4c",10,80,830
"Human",14,"4c",11,60,831
"Human",14,"4c",12,60,832
"Human",14,"4c",13,80,833
"Human",14,"4c",14,60,834
"Human",14,"4c",15,60,835
"Human",14,"4c",16,60,836
"Human",14,"4c",17,20,837
"Human",14,"4c",18,20,838
"Human",14,"4c",19,20,839
"Human",14,"4c",20,50,840
"Human",15,"op",1,90,841
"Human",15,"op",2,100,842
"Human",15,"op",3,0,843
"Human",15,"op",4,90,844
"Human",15,"op",5,60,845
"Human",15,"op",6,10,846
"Human",15,"op",7,10,847
"Human",15,"op",8,0,848
"Human",15,"op",9,50,849
"Human",15,"op",10,0,850
"Human",15,"op",11,70,851
"Human",15,"op",12,9,852
"Human",15,"op",13,0,853
"Human",15,"op",14,0,854
"Human",15,"op",15,10,855
"Human",15,"op",16,10,856
"Human",15,"op",17,0,857
"Human",15,"op",18,20,858
"Human",15,"op",19,0,859
"Human",15,"op",20,0,860
"Human",15,"2c",1,70,861
"Human",15,"2c",2,100,862
"Human",15,"2c",3,90,863
"Human",15,"2c",4,100,864
"Human",15,"2c",5,90,865
"Human",15,"2c",6,80,866
"Human",15,"2c",7,100,867
"Human",15,"2c",8,80,868
"Human",15,"2c",9,50,869
"Human",15,"2c",10,60,870
"Human",15,"2c",11,80,871
"Human",15,"2c",12,80,872
"Human",15,"2c",13,80,873
"Human",15,"2c",14,60,874
"Human",15,"2c",15,90,875
"Human",15,"2c",16,70,876
"Human",15,"2c",17,40,877
"Human",15,"2c",18,70,878
"Human",15,"2c",19,90,879
"Human",15,"2c",20,90,880
"Human",15,"4c",1,100,881
"Human",15,"4c",2,100,882
"Human",15,"4c",3,90,883
"Human",15,"4c",4,90,884
"Human",15,"4c",5,90,885
"Human",15,"4c",6,90,886
