"","Agent","Cond","AgentID","Mean_CR","Mean_conf"
"374","GPT","4C",26,0.85,95.25
"375","GPT","4C",27,0.9,97.25
"376","GPT","4C",28,0.85,96.25
"377","GPT","4C",29,0.85,96.25
"378","GPT","4C",30,0.85,97.5
"379","GPT","4C",31,0.85,98
"380","GPT","4C",32,0.85,97.5
"381","GPT","4C",33,0.85,97
"382","GPT","4C",34,0.85,97.25
"383","GPT","4C",35,0.85,98
"384","GPT","4C",36,0.9,96.75
"385","GPT","4C",37,0.85,96.75
"386","GPT","4C",38,0.85,96
"387","GPT","4C",39,0.85,96.5
"388","GPT","4C",40,0.9,97.5
"389","GPT","4C",41,0.85,97
"390","GPT","4C",42,0.85,96.75
"391","GPT","4C",43,0.85,96
"392","GPT","4C",44,0.85,96.75
"393","GPT","4C",45,0.9,97
"394","GPT","4C",46,0.95,96.25
"395","GPT","4C",47,0.85,96.9
"396","GPT","4C",48,0.9,97.5
"397","GPT","4C",49,0.85,95.75
"398","GPT","4C",50,0.9,96.25
"399","GPT","4C",51,0.9,97.5
"400","GPT","4C",52,0.85,97.5
"401","GPT","4C",53,0.9,96.5
"402","GPT","4C",54,0.85,95.5
"403","GPT","4C",55,0.9,96.75
"404","GPT","4C",56,0.9,98
"405","GPT","4C",57,0.9,96.5
"406","GPT","4C",58,0.85,95
"407","GPT","4C",59,0.9,95.5
"408","GPT","4C",60,0.9,97.25
"409","GPT","4C",61,0.85,96.25
"410","GPT","4C",62,0.85,95.5
"411","GPT","4C",63,0.9,95.25
"412","GPT","4C",64,0.85,97
"413","GPT","4C",65,0.85,97.95
"414","GPT","4C",66,0.9,96.25
"415","GPT","4C",67,0.9,96
"416","GPT","4C",68,0.85,96.75
"417","GPT","4C",69,0.9,96
"418","GPT","4C",70,0.85,96.75
"419","GPT","4C",71,0.9,96.2
"420","GPT","4C",72,0.9,97.2
"421","GPT","4C",73,0.9,97.5
"422","GPT","4C",74,0.9,96.5
"423","GPT","4C",75,0.85,95.75
"424","GPT","4C",76,0.85,97.5
"425","GPT","4C",77,0.9,96.25
"426","GPT","4C",78,0.9,95
"427","GPT","4C",79,0.85,95.75
"428","GPT","4C",80,0.9,96
"429","GPT","4C",81,0.85,97.25
"430","GPT","4C",82,0.9,97.5
"431","GPT","4C",83,0.85,97.75
"432","GPT","4C",84,0.9,97.25
"433","GPT","4C",85,0.9,96.75
"434","GPT","4C",86,0.85,94.5
"435","GPT","4C",87,0.85,97.5
"436","GPT","OP",1,0.85,95
"437","GPT","OP",2,0.8,93.75
"438","GPT","OP",3,0.8,91.75
"439","GPT","OP",4,0.75,93.95
"440","GPT","OP",5,0.8,95
"441","GPT","OP",6,0.75,94
"442","GPT","OP",7,0.7,92
"443","GPT","OP",8,0.85,96
"444","GPT","OP",9,0.7,93.75
"445","GPT","OP",10,0.8,93.55
"446","GPT","OP",11,0.75,93.75
"447","GPT","OP",12,0.85,94.5
"448","GPT","OP",13,0.8,92.15
"449","GPT","OP",14,0.8,93.75
"450","GPT","OP",15,0.8,93.75
"451","GPT","OP",16,0.8,93.75
"452","GPT","OP",17,0.75,94.25
"453","GPT","OP",18,0.8,95.25
"454","GPT","OP",19,0.8,92.25
"455","GPT","OP",20,0.8,90.65
"456","GPT","OP",21,0.75,93
"457","GPT","OP",22,0.8,94
"458","GPT","OP",23,0.8,91.5
"459","GPT","OP",24,0.75,93.25
"460","GPT","OP",25,0.8,95.25
"461","GPT","OP",26,0.75,93.75
"462","GPT","OP",27,0.85,95.5
"463","GPT","OP",28,0.8,91
"464","GPT","OP",29,0.75,92
"465","GPT","OP",30,0.7,92.25
"466","GPT","OP",31,0.8,94.75
